| category                        | AP     | AP50   | AP75   |
| Boots                           | 11.716 | 14.759 | 12.770 |
| Glasses                         | 15.856 | 29.062 | 17.176 |
| Statue                          | 63.169 | 66.461 | 66.461 |
| Amphora                         | 5.308  | 6.608  | 5.975  |
| Anchor                          | 24.718 | 49.492 | 23.414 |
| Ship's Wheel                    | 15.646 | 31.931 | 12.944 |
| Remotely Operated Vehicle (ROV) | 66.501 | 81.250 | 73.489 |
| Military Submarines             | 44.960 | 46.939 | 46.939 |
| Propeller                       | 14.019 | 32.356 | 8.354  |
| Sea Chest Grating               | 5.445  | 7.779  | 5.597  |
| Submarine Pipeline              | 8.036  | 16.596 | 8.139  |
| Pipeline's Anode                | 0.760  | 1.056  | 0.942  |
